keyword_phrases,clicks,cost,transactions,bad_to_ok_keywords,clicks_sum,cost_sum,bounce_rate_avg,category
gas engineers public liability insurance,3,20.31,0, gas engineers,12,71.18,27,ok
gas engineers liability insurance,7,41.15,0, gas engineers,12,71.18,27,ok
gas fitter insurance,1,7.1,0, gas fitter,1,7.1,100,bad
insurance gas fitters,3,11.46,0, gas fitters,3,11.46,100,bad
insurance for glaziers,1,4.84,0, glaziers,1,4.84,100,bad
home cake maker insurance,2,4.72,0, home cake maker,2,4.72,100,bad
how to get public liability insurance,7,39.24,0, how to get,7,39.24,73,ok
insuring a shipping container,1,1.72,0, insuring a,1,1.72,67,ok
insuring shipments,2,3.7,0, insuring shipments,2,3.7,50,ok
interior design insurance,6,23.6,0, interior design,6,23.6,50,ok
interior designer insurance,7,24.05,0, interior designer,7,24.05,88,ok
it contractor insurance,4,32.45,0, it contractor,9,69.09,91,ok
it contractor liability insurance,3,27.38,0, it contractor,9,69.09,91,ok
it contractor public liability,2,9.26,0, it contractor,9,69.09,91,ok
joiner public liability insurance,1,5.93,0, joiner,1,5.93,0,ok
joiners insurance,1,4.36,0, joiners,1,4.36,100,bad
joinery insurance,5,14.0,0, joinery,5,14.0,83,ok
insurance land surveyor,1,2.35,0, land surveyor,1,2.35,0,ok
lawyer liability insurance,1,4.75,0, lawyer,1,4.75,100,bad
lawyers insurance,12,34.47,0, lawyers,16,48.28,77,ok
lawyers liability insurance,4,13.81,0, lawyers,16,48.28,77,ok
cargo legal liability,2,3.41,0, legal,2,3.41,100,bad
public liability insurance limited company,1,11.82,0, limited company,1,11.82,0,ok
marine insurance brokers london,13,49.23,0, london,13,49.23,46,ok
marin insurance,1,2.76,0, marin,1,2.76,0,ok
market traders public liability insurance,11,71.17,0, market,323,1804.58,75,ok
public liability insurance for market traders,12,61.25,0, market,323,1804.58,75,ok
insurance for market traders,25,111.05,0, market,323,1804.58,75,ok
market traders insurance uk,1,2.62,0, market,323,1804.58,75,ok
market public liability insurance,12,43.61,0, market,323,1804.58,75,ok
public liability insurance market traders,1,8.31,0, market,323,1804.58,75,ok
market traders insurance,261,1506.57,0, market,323,1804.58,75,ok
market stall insurance uk,22,75.71,0, market stall,88,278.73999999999995,78,ok
insurance market stall,29,97.38,0, market stall,88,278.73999999999995,78,ok
market stall insurance,34,98.34,0, market stall,88,278.73999999999995,78,ok
cheap market stall insurance,3,7.31,0, market stall,88,278.73999999999995,78,ok
market stall holders insurance,1,2.43,0, market stall holders,1,2.43,100,bad
liability insurance for market stalls,20,98.08,0, market stalls,64,222.99,63,ok
insurance for market stalls,44,124.91,0, market stalls,64,222.99,63,ok
market trader insurance,166,762.61,0, market trader,180,845.9,77,ok
market trader public liability insurance,12,72.03,0, market trader,180,845.9,77,ok
market trader liability insurance,1,4.6,0, market trader,180,845.9,77,ok
public liability insurance for market trader,1,6.66,0, market trader,180,845.9,77,ok
market trading insurance,2,11.93,0, market trading,2,11.93,50,ok
public liability insurance for markets,4,18.85,0, markets,4,18.85,50,ok
insurance for martial arts,6,31.5,0, martial arts,686,3379.83,40,ok
martial arts liability,15,61.25,0, martial arts,686,3379.83,40,ok
martial arts insurance cover,5,22.81,0, martial arts,686,3379.83,40,ok
insurance martial arts uk,1,1.7,0, martial arts,686,3379.83,40,ok
martial arts public liability insurance,29,158.42,0, martial arts,686,3379.83,40,ok
martial arts insurance,529,2703.25,0, martial arts,686,3379.83,40,ok
martial arts liability insurance,20,95.8,0, martial arts,686,3379.83,40,ok
martial arts public liability,13,50.79,0, martial arts,686,3379.83,40,ok
martial arts insurance uk,68,254.31,0, martial arts,686,3379.83,40,ok
martial arts club insurance uk,2,15.04,0, martial arts club,12,77.19,54,ok
martial arts club insurance,10,62.15,0, martial arts club,12,77.19,54,ok
martial arts insurance group,1,2.44,0, martial arts group,1,2.44,0,ok
martial arts instructor insurance uk,44,193.43,0, martial arts instructor,135,579.61,19,ok
martial arts instructor insurance,91,386.18,0, martial arts instructor,135,579.61,19,ok
martial arts instructors insurance,46,179.34,0, martial arts instructors,46,179.34,52,ok
martial arts school insurance,16,67.41,0, martial arts school,16,67.41,49,ok
martial arts student insurance,4,20.49,0, martial arts student,4,20.49,33,ok
martial arts insurance for students,22,123.06,0, martial arts students,22,123.06,60,ok
